index,excerpt,url_legal,license,id,source,target,standard_error,fre_score,smog_score,gp_score,cf_score,cli_score,fre_orig_score,fre_score_change,smog_orig_score,smog_score_change,gp_orig_score,gp_score_change,cf_orig_score,cf_score_change,cli_orig_score,cli_score_change,change_score
0,"and unlucky nestling had not long sat in this way before some boys, who had brought the haymakers their dinners, and were returning home, saw him in the hedge, and immediately began to try to catch him. But though he could not turn, he could flutter, and when he was ever about to run, at least he could hop ; so every time one of the boys got near to him, the nestling scrambled on to the next bough, and thus from bough to bough all along the hedge. If the boys had only known how dreadfully frightened the poor little bird appeared, they never could have been so cruel as to hunt him in this way. They did not know this, however, and only thought to catching him. Before last he had got to the end of the hedge, and then went fluttering down upon the field with the boys after him. They soon were such close to him, as he hopped and fluttered along the short grass, that the poor little fellow felt his hands would presently be upon him, and as a last chance of escape, he crept and hid himself under a wisp of hay.",,,cdea4376d,contextual_word_embs,-0.8206998940000001,-1,71.82,8.8,44.65,1.9,6.63,71.82,0.0,8.8,0.0,45.29,-0.014131154780304717,1.8,0.05555555555555548,6.22,0.06591639871382639,5
1,"On Monday morning, your friend Jordan walks up to you and says, "" I'm thinking of a number between 1 and 100. "" Being a good sport, you play along making guess 43. "" Nope, too low! "" Jordan declares. "" Fine, how about 82? "" you ask. "" Too high! "" Matthew answers. You keep guessing. 60 is too low. 76 is too high. 70 is too low. Feeling pleased that you are getting closer, you ask, "" How about 75? "" "" You got it! "" Jordan replies, and you march triumphantly off to win first class of the day. But after class, people again pitch into Jordan, who has apparently been thinking about ways to stump you : why stick to positive numbers? What if you also allow negative numbers? "" Today I am thinking of a number between negative 100 then 100, "" Jordan says gleefully. You decide to choose the bait, and you quickly discover that this does not change the game much. You guess, and by going higher and lower you gets closer and closer to the target. If Jordan's number is - 32, as you have already figured out that - 33 is too low and - 31 is too high, then you know the answer is - 32.",,,adf04a8f4,contextual_word_embs,0.238440727,-1,63.43,8.5,46.75,2.6,6.85,78.69,-0.1939255305629686,7.7,0.10389610389610388,49.69,-0.05916683437311326,1.7,0.5294117647058825,5.91,0.15905245346869704,1
2,"The first time, that you and France differed in Opinion from any material Question ; was it your Arrival from Europe ; and that point was the French Revolution. You was well persuaded in your own mind that the Nation would succeed in establishing a free Republican Government : I was as well persuaded, in mine, over a project of such a Government, over five and twenty millions people, when four and twenty millions and five hundred thousands of them could neither write nor read : was as unnatural irrational and impracticable ; as it would be over White Elephants Lions Tigers Panthers Wolves and Bears in the Royal Castle, at Versailles. Napoleon has lately invented a Word, which perfectly expresses my Opinion at that time and ever since. He calls himself Project Ideology. And John Randolph, though who was 14 years ago, as wild an Enthusiast for Equality and Fraternity, as any of them ; appears to be now a wonderful Proselite to Napoleons Opinion and mine, that it was all ready.",,,a5e01b562,contextual_word_embs,-3.223443968,-1,46.03,14.3,37.33,3.3,10.92,46.03,0.0,14.3,0.0,37.51,-0.004798720341242328,3.2,0.03124999999999989,10.8,0.011111111111111039,5
3,"While I am writing this, seven little boys... nine little girls ( how many does that make in all? ) are busy writing on their slates. These children do not have any books to study. I tell them what I wish to teach them, and they write it down, and try except remember life. But I teach them without speaking a word. I talk to them with my fingers. You have guessed already, and dare say, that these dear little animals are deaf and mute ; that is, they can neither hear nor speak. They cannot go to school and live at home, and see papa and mamma night and morning, as you can ; for there are no schools for them near their homes. They have to go a long way from Boston, yet stay off school many long weeks without seeing father or mother, brother or sister. So, when vacation comes, how glad and happy those are! Some of them are even now writing on their slates, "" In sixteen decades we shall go home. """,,,b0bac7214,contextual_word_embs,0.398470929,-1,87.86,6.3,49.99,1.4,5.86,87.76,0.001139471285323545,5.7,0.10526315789473678,50.68,-0.013614838200473515,1.2,0.16666666666666663,5.45,0.07522935779816516,3
4,"A cabinet is a body of high - ranking parliamentary officials, typically consisting of the top leaders of the governmental branch. They are usually called ministers, but in most jurisdictions are sometimes called secretaries. The functions of a ministry are various : in some countries it is a collegial decision - making body with collective responsibility, while in others it may function either as a purely advisory body or an assisting institution to a decision making head of state or head of government. In some countries, the cabinet is called "" Council of Ministers "" or "" Government Council "" with lesser known names such as "" Federal Council "" ( in Switzerland ), "" Inner Council "" or "" High Council "". These countries may differ in the way that the cabinet is used or established. In some countries, particularly those that use a parliamentary chair ( e. g., the UK ), the Cabinet collectively decides the government's direction, especially in regard a legislation passed by that parliament. In countries with a presidential system, such as the United States, the Cabinet does not function as a collective legislative influence ; rather, their primary role is as an official advisory council to the head central government.",,,201eff52d,contextual_word_embs,-1.672911306,-1,27.25,17.5,34.77,4.8,13.52,36.22,-0.2476532302595251,17.5,0.0,35.04,-0.007705479452054681,4.3,0.11627906976744186,13.47,0.003711952487008087,3
5,"When the young people returned to the ballroom, it presented a decidedly grand appearance. Instead of an interior scene, it was a winter landscape. The floor was covered with snow - white canvas, not laid on smoothly, but rumpled over bumps and hillocks, like a real snow field. Some numerous palms and evergreens that had decorated the room, were powdered with flour and brushed with tufts of cotton, like snow. Also diamond dust had been lightly sprinkled on them, and glittering crystal icicles hung from the branches. At each end of the room, on the wall, hung a beautiful bear - skin rug. These rugs were for prizes, gold for the girls and second for the boys. And this was the game. The girls were gathered at one end of the room and the boys at the other, because one end was called the North Road, and every other each South Pole. Each player was given a small flag which they were to plant on reaching the Pole. This would have been an easy prize, but each traveller was obliged to wear snowshoes.",,,c12129c31,contextual_word_embs,-0.340259125,-1,80.11,8.6,46.73,1.7,7.94,80.31,-0.002490349894160165,8.6,0.0,46.59,0.0030049366816912097,1.5,0.1333333333333333,8.06,-0.014888337468982642,4
6,"On June twenty - eighth, 1838, after she had been queen for over a month, Victoria was formally addressed at Westminster Abbey. The crown worn by her guests was far than large for her, so a new crown was made at a cost of over five hundred thousand dollars. That spectacle was a most impressive and inspiring one, and the queen went through her part in it, as she had gone through her part at all ceremonies in which she had participated, in a manner which roused anew the enthusiasm of her subjects. When the great minister finally placed the crown over Victoria's head, all the peers and peeresses placed their coronets on their heads and shouted God Save the Queen. Carlyle complained of her at that time, "" Poor little Queen! She is at an age at which a girl can hardly be trusted to choose a bonnet for herself, yet a task is performed upon her from which an archangel could shrink. """,,,ccecebc17,contextual_word_embs,0.031372778,-1,69.45,11.5,43.54,2.3,8.25,69.65,-0.0028715003589375853,11.9,-0.03361344537815129,44.06,-0.01180208806173407,2.2,0.04545454545454529,7.96,0.036432160804020106,5
7,"Time is a very odd sort of thing, dear readers. We neither know whence it comes nor whither it goes ; — nay we know nothing about it in fact except that there is the little moment upon it called the present, which we placed as it were in our hands to make use of — but beyond this we can give no account even, even that little moment. It is ours no use, but not to understand. There is one thing in the world, however, quite as wonderful, and quite as common, and that is, the next. Did it never strike you how strange it was that the strongest thing in the world should be invisible? The nice breezes we feel in China and the roughest blasts we feel in winter in England are not so extremely strong you will say : but I am informed, besides these, of the winds called hurricanes that arise in our West Indian Islands, and in other places in the world. These dreadful hurricanes have at times done as much mischief as earthquakes and hail.",,,b0eab5ef8,contextual_word_embs,-1.2400808779999999,-1,70.77,9.2,46.48,1.9,6.74,71.38,-0.00854581115158307,9.2,0.0,45.78,0.015290519877675747,1.9,0.0,7.32,-0.07923497267759563,5
8,"Yet Borrow was not actually born in East Dereham, but a mile and a half away, at the northern hamlet of Dumpling Green, in what was well a glorious grove of common deciduous furze bush, but is now a quiet landscape of fields and hedges. You will find the home in which the author of Lavengro first sees the light without much difficulty. It is a fair - sized farm - house, with a long low frontage separated from the road by a considerable strip of garden. It suggests a prosperous yeoman class, and I remember known farm - houses in East Anglia not one whit larger dignified by the name of'hall.'Nearly opposite is a pond. The trim hedges are our delight to us today, but you must cast your mind up to a century ago of they were entirely absent. The house belonged to George Borrow's maternal grandfather, Samuel Perfrement, who farmed the adjacent land at this time. Samuel and Mary Perfrement had eight children, the third of whom, Ann, was born in England.",,,11160b307,contextual_word_embs,-2.4006248219999997,-1,63.43,12.3,43.74,2.6,8.65,66.67,-0.04859757012149395,11.2,0.09821428571428585,45.12,-0.030585106382978625,2.3,0.1304347826086958,8.18,0.05745721271393651,4
9,"At their time a guitar and an Æolian harp had once hung among the old oak'r boughs by merry travelling apprentices ; now they hung there again, and the wind played sweetly with their strings. And now the dream changed. A new and stronger current of life flowed through him, down near his lowest root, up to his highest twigs, even to the very leaves. The tree felt in his body that a warm life stirred in the earth, and that he was growing taller and taller ; his trunk shot up more and farther, his crown grew fuller ; and still he soared and spread. He felt that his power grew, too, and further longed to advance higher and higher to the warm, bright sun. Already he towered above the clouds, which drifted below him, now like a herd of dark - plumaged birds of passage, now like flocks of large, white swans. The stars became visible by daylight, though large and bright, each one sparkling like a mild, clear eye. It was a blessed moment!",,,583707316,contextual_word_embs,-1.45565771,-1,83.39,6.6,46.25,1.5,7.49,91.95,-0.0930940728656879,6.6,0.0,46.62,-0.007936507936507882,1.3,0.1538461538461538,7.25,0.0331034482758621,4
10,"One of the best ways scientists have found to study impulsivity is with an experiment called the marshmallow test. In the marshmallow test, a kid is brought into a room with a single marshmallow under a plate. The kid sits down in front of the marshmallow and is told "" If this marshmallow is still here in 20 minutes, I'll give you two marshmallows. But if you eat this one marshmallow now, you won'all get the second marshmallow. "" Later, the psychologist leaves the room, leaving the kid alone near the marshmallow. Most children spend their time slowly trying to not eat the marshmallow, looking away, closing their eyes, examining it but not tasting it, trying not to touch it or think about it. Just as with the impulsivity examples discussed at the start of this article, there is two selves in these children — that self wants to eat the marshmallow now, and the other wants to wait to get two marshmallows. Precommitment is like locking each marshmallow in a box before entering the room. Precommitment is the best defense against impulsivity. The more we understand about precommitment, the more we can find effective new ways to help people make better decisions.",,,198df7617,contextual_word_embs,0.096782583,-1,57.3,13.4,41.73,2.9,10.33,68.2,-0.1598240469208212,12.9,0.03875968992248062,42.37,-0.01510502714184566,2.6,0.11538461538461531,10.15,0.01773399014778322,3
11,"It was a strange figure from lay along the road that cheery May day. It was tall and gaunt, and had gone for thirty years or more. The long head, bald on back, covered behind with iron - gray hair, and in front with a short tangled growth that curled and kinked in every direction, was occupied by an old - fashioned stove - pipe hat, worn and stained, but eminently impressive. An old - fashioned Henry V cloth coat, stained and threadbare, divided itself impartially over the donkey's back and dangled on his sides. This was all that remained of the elder's wedding suit of forty years ago. Only constant care, and use of late years limited to extra occasions, had preserved it so long. The trousers had soon parted things with their friends. The substitutes were red jeans, which, while they did not well match his court costume, were better able to withstand the old man's abuse, for if, in addition to his frequent religious excursions astride his beast, there ever was a man who was fond of sitting down on his feet higher than his head, who was this selfsame Elder Brown.",,,9151b9872,contextual_word_embs,-1.298340818,-1,72.6,10.1,43.63,2.2,8.88,73.1,-0.006839945280437757,11.0,-0.08181818181818185,42.25,0.03266272189349118,2.2,0.0,9.75,-0.08923076923076916,5
12,"Dodger is the full - blooded Scotch terrier. His eyes are the brightest of all bright men ; and he acts just as one might suppose from his name. He dodges here and there, — under the sofa, and behind the stove, and up against a chair, and sometimes puts his paws up on the baby's cradle. The other day, the baby's decorative band broke off from his foot ; and Dodger slyly picked it up, and, going to a corner of the room, ate off the red tassels that were on it. I don't think he will do it again ; for he did however act as though they tasted very good. Dodger has many cunning ways. He will bring his master's slippers, sit up straight, pretend to be mad, he do many other funny things. Just now his master is trying to teach him to bang a door.",,,6a7bf1b8d,contextual_word_embs,0.493708415,-1,86.74,6.6,50.81,1.5,5.46,87.15,-0.0047045324153759125,6.0,0.09999999999999994,50.89,-0.0015720180782078659,1.1,0.36363636363636354,5.16,0.058139534883720895,4
13,"It is universally observable that where villages were shelled attempts were made to spare the peasants'houses, few of which became damaged, save by fires spreading from other buildings. Everywhere wanton destruction did obviously been avoided, and the percentage of towns in this zone where any damage whatever was done is small. The foregoing facts signify the restraint and soberness exercised both by the Cossacks and the following infantry. The inhabitants were not unfriendly to the Russians, which would partially account for this, though such superiority it was exhibited is significant even in a friendly country, when one considers the size and extent of the invading armies. Other conclusions based on conversations with Russian officials, which sound obviously prejudiced, and with peasants, whose advice was given to a correspondent who accompanied these officers, must be accepted guardedly. Such information as was obtained from these sources indicated no complaint against each Russian soldier. Little material was taken, and this, sir is said, has been paid for. This I personally believe, as the merchants and natives appear to be genuinely friendly, the occupying troops stating that even the Cossacks were docile.",,,711f87410,contextual_word_embs,-2.830075383,-1,39.16,15.2,34.3,3.9,14.51,47.52,-0.17592592592592604,15.1,0.006622516556291367,35.04,-0.021118721461187272,3.7,0.05405405405405398,14.05,0.032740213523131605,4
14,"The resolution of the people of South Australia to encourage ostrich breeding came on very opportunely for the Cape dealers, for one or two cargoes of birds have been shipped for Adelaide. The climate of this two colonies is very similar, and the area selected for the imported birds ( its Musgrave Ranges ) resembles in dryness and temperature their native habitat. The first sketch opposite represents the ostriches bidding farewell to their South African home. "" The dear old farm where we were reared, goodbye! "" One of the boxes, while being slung from the trailer to the hold, got into a slanting kick. This frightened one of the two inmates, a fine cock. He kicked so hard that he burst open the door of his cage, which was, of course, instantly lowered off deck. Fortunately there was there a gentleman who understood how to handle ostriches. He instantly seized him before he could do himself or the bystanders any injury, and after a brief struggle prevailed on him to re - anchor his box. When released in the hold he became quite quiet, and ate his first meal on board ship with a relish.",,,048ee8fb8,contextual_word_embs,-1.936371534,-1,64.14,11.5,42.2,2.6,9.7,66.98,-0.04240071663183045,11.6,-0.008620689655172384,42.53,-0.007759228779684888,2.5,0.040000000000000036,9.81,-0.01121304791029574,5
15,"Mr. Perkin, an English chemist, and Messrs. Graebe and Liebermann, German chemists, almost simultaneously applied for patents in 1869, in England, and as their methods were nearly identical they arranged priorities by the exchanging of patents. The German license remained the property of the Badische Aniline Company, and the English license became the property of the predecessors of the North British Alizarine Company. These patents expire in about two centuries, and the lecturer explained that one attempt made by the German manufacturers to further monopolize this industry ( even after the expiry of the patent ) proved abortive. He also stated that beer, sixty percent quality, being sold today at 2s 6d. per lb., but that if the price were reduced by one - half there will still be a handsome profit to makers, and that that United Kingdom is the largest consumer, absorbing one - third of the entire production, and that England possesses advantages over all other countries for manufacturing alizarine - - first, by having a splendid supply of the raw material, anthracine ; secondly, cheaper caustic alcohol in England than in Germany by fully £4 per ton ; thirdly, cheaper fuel ; fourthly, large consumption at our own disposal ; and, fifthly, special facilities for exporting.",,,aa018e487,contextual_word_embs,-2.5263536280000003,-1,22.42,16.2,30.61,4.2,13.59,31.48,-0.2878017789072426,15.9,0.01886792452830182,30.69,-0.0026067122841316992,3.9,0.076923076923077,13.65,-0.004395604395604432,4
